enrollment,interval,start,end,model
476,Monthly,8/1/2020,8/31/2020,Virtual
579,Monthly,8/1/2020,8/31/2020,Virtual
676,Monthly,8/1/2020,8/31/2020,Virtual
536,Monthly,8/1/2020,8/31/2020,Virtual
453,Monthly,8/1/2020,8/31/2020,Virtual
559,Monthly,8/1/2020,8/31/2020,Virtual
661,Monthly,8/1/2020,8/31/2020,Virtual
515,Monthly,8/1/2020,8/31/2020,Virtual
2068,Monthly,8/1/2020,8/31/2020,Virtual
167,Monthly,8/1/2020,8/31/2020,Virtual
365,Monthly,8/1/2020,8/31/2020,Virtual
522,Monthly,8/1/2020,8/31/2020,Virtual
263,Monthly,8/1/2020,8/31/2020,Virtual
435,Monthly,8/1/2020,8/31/2020,Virtual
296,Monthly,8/1/2020,8/31/2020,Virtual
262,Monthly,8/1/2020,8/31/2020,Virtual
229,Monthly,8/1/2020,8/31/2020,Virtual
320,Monthly,8/1/2020,8/31/2020,Virtual
329,Monthly,8/1/2020,8/31/2020,Virtual
486,Monthly,8/1/2020,8/31/2020,Virtual
275,Monthly,8/1/2020,8/31/2020,Virtual
216,Monthly,8/1/2020,8/31/2020,Virtual
471,Monthly,8/1/2020,8/31/2020,Virtual
283,Monthly,8/1/2020,8/31/2020,Virtual
481,Monthly,8/1/2020,8/31/2020,Virtual
523,Monthly,8/1/2020,8/31/2020,Virtual
428,Monthly,8/1/2020,8/31/2020,Virtual
294,Monthly,8/1/2020,8/31/2020,Virtual
276,Monthly,8/1/2020,8/31/2020,Virtual
391,Monthly,8/1/2020,8/31/2020,Virtual
294,Monthly,8/1/2020,8/31/2020,Virtual
336,Monthly,8/1/2020,8/31/2020,Virtual
301,Monthly,8/1/2020,8/31/2020,Virtual
571,Monthly,8/1/2020,8/31/2020,Virtual
144,Monthly,8/1/2020,8/31/2020,Virtual
220,Monthly,8/1/2020,8/31/2020,Virtual
185,Monthly,8/1/2020,8/31/2020,Virtual
535,Monthly,8/1/2020,8/31/2020,Virtual
890,Monthly,8/1/2020,8/31/2020,Virtual
461,Monthly,8/1/2020,8/31/2020,Virtual
539,Monthly,8/1/2020,8/31/2020,Virtual
530,Monthly,8/1/2020,8/31/2020,Virtual
1786,Monthly,8/1/2020,8/31/2020,Virtual
546,Monthly,8/1/2020,8/31/2020,Virtual
1615,Monthly,8/1/2020,8/31/2020,Virtual
676,Monthly,8/1/2020,8/31/2020,Virtual
970,Monthly,8/1/2020,8/31/2020,Virtual
455,Monthly,8/1/2020,8/31/2020,Virtual
2154,Monthly,8/1/2020,8/31/2020,Virtual
647,Monthly,8/1/2020,8/31/2020,Virtual
615,Monthly,8/1/2020,8/31/2020,Virtual
394,Monthly,8/1/2020,8/31/2020,Virtual
643,Monthly,8/1/2020,8/31/2020,Virtual
684,Monthly,8/1/2020,8/31/2020,Virtual
427,Monthly,8/1/2020,8/31/2020,Virtual
661,Monthly,8/1/2020,8/31/2020,Virtual
812,Monthly,8/1/2020,8/31/2020,Virtual
1319,Monthly,8/1/2020,8/31/2020,Virtual
12,Monthly,8/1/2020,8/31/2020,Virtual
638,Monthly,8/1/2020,8/31/2020,Virtual
532,Monthly,8/1/2020,8/31/2020,Virtual
486,Monthly,8/1/2020,8/31/2020,Virtual
368,Monthly,8/1/2020,8/31/2020,Virtual
440,Monthly,8/1/2020,8/31/2020,Virtual
366,Monthly,8/1/2020,8/31/2020,Virtual
224,Monthly,8/1/2020,8/31/2020,Virtual
176,Monthly,8/1/2020,8/31/2020,Virtual
174,Monthly,8/1/2020,8/31/2020,Virtual
356,Monthly,8/1/2020,8/31/2020,Virtual
245,Monthly,8/1/2020,8/31/2020,Virtual
240,Monthly,8/1/2020,8/31/2020,Virtual
659,Monthly,8/1/2020,8/31/2020,Virtual
446,Monthly,8/1/2020,8/31/2020,Virtual
27,Monthly,8/1/2020,8/31/2020,Virtual
457,Monthly,8/1/2020,8/31/2020,Virtual
685,Monthly,8/1/2020,8/31/2020,Virtual
839,Monthly,8/1/2020,8/31/2020,Virtual
620,Monthly,8/1/2020,8/31/2020,Virtual
538,Monthly,8/1/2020,8/31/2020,Virtual
632,Monthly,8/1/2020,8/31/2020,Virtual
498,Monthly,8/1/2020,8/31/2020,Virtual
513,Monthly,8/1/2020,8/31/2020,Virtual
777,Monthly,8/1/2020,8/31/2020,Virtual
955,Monthly,8/1/2020,8/31/2020,Virtual
520,Monthly,8/1/2020,8/31/2020,Virtual
539,Monthly,8/1/2020,8/31/2020,Virtual
736,Monthly,8/1/2020,8/31/2020,Virtual
720,Monthly,8/1/2020,8/31/2020,Virtual
494,Monthly,8/1/2020,8/31/2020,Virtual
580,Monthly,8/1/2020,8/31/2020,Virtual
922,Monthly,8/1/2020,8/31/2020,Virtual
632,Monthly,8/1/2020,8/31/2020,Virtual
744,Monthly,8/1/2020,8/31/2020,Virtual
405,Monthly,8/1/2020,8/31/2020,Virtual
946,Monthly,8/1/2020,8/31/2020,Virtual
710,Monthly,8/1/2020,8/31/2020,Virtual
582,Monthly,8/1/2020,8/31/2020,Virtual
649,Monthly,8/1/2020,8/31/2020,Virtual
2777,Monthly,8/1/2020,8/31/2020,Virtual
880,Monthly,8/1/2020,8/31/2020,Virtual
982,Monthly,8/1/2020,8/31/2020,Virtual
2933,Monthly,8/1/2020,8/31/2020,Virtual
1008,Monthly,8/1/2020,8/31/2020,Virtual
238,Monthly,8/1/2020,8/31/2020,Virtual
2222,Monthly,8/1/2020,8/31/2020,Virtual
2720,Monthly,8/1/2020,8/31/2020,Virtual
1240,Monthly,8/1/2020,8/31/2020,Virtual
