enrollment,interval,start,end,model
334,Biweekly,3/1/2021,3/14/2021,Virtual
334,Biweekly,3/15/2021,3/28/2021,Hybrid
334,Biweekly,3/29/2021,4/11/2021,Hybrid
334,Biweekly,4/12/2021,4/25/2021,Hybrid
334,Biweekly,4/26/2021,5/9/2021,Hybrid
334,Biweekly,5/10/2021,5/23/2021,Hybrid
334,Biweekly,5/24/2021,6/6/2021,Hybrid
334,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
625,Biweekly,10/12/2020,10/25/2020,In-person
623,Biweekly,10/26/2020,11/9/2020,
621,Biweekly,11/9/2020,11/29/2020,In-person
623,Biweekly,11/30/2020,12/13/2020,In-person
619,Biweekly,1/4/2021,1/17/2021,In-person
620,Biweekly,1/18/2021,1/31/2021,In-person
760,Biweekly,2/1/2021,2/14/2021,In-person
621,Biweekly,2/15/2021,2/28/2021,In-person
626,Biweekly,3/1/2021,3/14/2021,In-person
625,Biweekly,3/15/2021,3/28/2021,In-person
625,Biweekly,3/29/2021,4/11/2021,In-person
625,Biweekly,4/12/2021,4/25/2021,In-person
626,Biweekly,4/26/2021,5/9/2021,In-person
627,Biweekly,5/10/2021,5/23/2021,In-person
626,Biweekly,5/24/2021,6/6/2021,In-person
627,Biweekly,6/7/2021,6/20/2021,In-person
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
393,Biweekly,10/12/2020,10/25/2020,Hybrid
398,Biweekly,10/26/2020,11/9/2020,
396,Biweekly,11/9/2020,11/29/2020,Hybrid
394,Biweekly,11/30/2020,12/13/2020,Hybrid
389,Biweekly,1/4/2021,1/17/2021,Hybrid
389,Biweekly,1/18/2021,1/31/2021,Hybrid
386,Biweekly,2/1/2021,2/14/2021,Hybrid
387,Biweekly,2/15/2021,2/28/2021,Hybrid
387,Biweekly,3/1/2021,3/14/2021,Hybrid
387,Biweekly,3/15/2021,3/28/2021,Hybrid
387,Biweekly,3/29/2021,4/11/2021,Hybrid
387,Biweekly,4/12/2021,4/25/2021,Hybrid
387,Biweekly,4/26/2021,5/9/2021,Hybrid
387,Biweekly,5/10/2021,5/23/2021,Hybrid
387,Biweekly,5/24/2021,6/6/2021,Hybrid
387,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
1914,Biweekly,10/12/2020,10/25/2020,Hybrid
1474,Biweekly,10/26/2020,11/9/2020,
1474,Biweekly,11/9/2020,11/29/2020,Hybrid
